date,avg_temp_f,max_temp_f,min_temp_f,total_precipitation_inches,rainy_days,avg_uv_index
2026-06-07,73.2,85.3,57.0,0.42,2,7.8
2026-06-14,79.3,93.3,66.2,0.19,2,7.1
2026-06-21,80.9,91.5,71.4,0.05,3,7.5
